time,cgm
8,68.4
23,59.4
38,50.4
53,41.4
68,39.6
83,39.6
98,50.4
113,97.2
128,129.6
143,144.0
158,149.4
173,151.2
188,138.6
203,122.4
218,117.0
233,113.4
248,109.8
263,100.8
278,82.8
293,75.6
308,75.6
323,88.2
338,109.8
353,113.4
368,117.0
383,136.8
398,163.8
413,185.4
428,194.4
443,196.2
458,203.4
473,212.4
488,232.2
503,246.6
518,248.4
533,250.2
548,264.6
563,271.8
578,257.4
593,239.4
608,216.0
623,199.8
638,201.6
653,187.2
668,176.4
683,181.8
698,190.8
713,183.6
728,178.2
743,181.8
758,178.2
773,172.8
788,163.8
803,145.8
818,126.0
833,111.6
848,102.6
863,91.8
878,77.4
893,68.4
908,63.0
923,57.6
938,50.4
953,46.8
968,64.8
983,113.4
998,111.6
1013,79.2
1028,66.6
1043,77.4
1058,118.8
1073,133.2
1088,127.8
1103,124.2
1118,122.4
1133,120.6
1148,117.0
1163,113.4
1178,97.2
1193,73.8
1208,64.8
1223,59.4
1238,55.8
1253,52.2
1268,50.4
1283,64.8
1298,109.8
1313,142.2
1328,151.2
1343,156.6
1358,167.4
1373,176.4
1388,171.0
1403,160.2
1418,151.2
1433,142.2
1448,149.4
1463,167.4
1478,189.0
1493,199.8
1508,196.2
1523,210.6
1538,235.8
1553,235.8
1568,228.6
1583,244.8
1598,268.2
1613,271.8
1628,270.0
1643,280.8
1658,288.0
1673,280.8
1688,275.4
1703,291.6
1718,306.0
1733,304.2
1748,309.6
1763,315.0
1778,316.8
1793,309.6
1808,309.6
1823,318.6
1838,322.2
1853,327.6
1868,316.8
1883,300.6
1898,286.2
1913,295.2
1928,311.4
1943,316.8
1958,327.6
1973,325.8
1988,322.2
2003,324.0
2018,309.6
2033,286.2
2048,257.4
2063,237.6
2078,219.6
2093,187.2
2108,149.4
2123,118.8
2138,118.8
2153,147.6
2168,172.8
2183,167.4
2198,167.4
2213,169.2
2228,163.8
2243,158.4
2258,147.6
2273,131.4
2288,122.4
2303,115.2
2318,104.4
2333,97.2
2348,91.8
2363,84.6
2378,73.8
2393,66.6
2408,61.2
2423,57.6
2438,52.2
2453,46.8
2468,43.2
2483,66.6
2498,113.4
2513,133.2
2528,138.6
2543,138.6
2558,138.6
2573,147.6
2588,151.2
2603,145.8
2618,133.2
2633,120.6
2648,111.6
2663,104.4
2678,97.2
2693,88.2
2708,81.0
2723,79.2
2738,82.8
2753,86.4
2768,86.4
2783,84.6
2798,79.2
2813,73.8
2828,68.4
2843,66.6
2858,61.2
2873,61.2
