time,co2,AT
0,421.1,10.206
1,420.588,10.331
2,421.998,9.373
3,420.839,9.127
4,421.623,8.276
5,422.452,7.787
6,421.131,8.252
7,420.373,8.482
8,420.66,8.734
9,420.148,9.558
10,422.431,9.387
11,422.854,8.878
12,420.798,9.974
13,421.447,10.538
14,421.265,10.314
15,419.782,10.114
16,418.47,11.233
17,418.049,12.179
18,417.826,12.473
19,417.754,12.516
20,418.029,12.843
21,417.784,13.152
22,417.511,13.821
23,417.829,13.139
24,418.114,12.349
25,418.578,12.67
26,418.665,13.21
27,418.776,13.293
28,418.832,13.732
29,419.0,13.545
30,418.657,13.597
31,419.272,12.617
32,418.568,12.553
33,418.79,12.816
34,419.018,12.813
35,418.296,13.027
36,417.846,13.323
37,417.931,12.72
38,418.383,11.932
39,418.241,12.316
40,418.713,12.476
41,418.996,12.467
42,418.88,12.443
43,419.491,11.843
44,419.658,11.676
45,420.434,11.084
46,422.974,9.379
47,424.626,8.235
48,425.081,8.003
49,425.747,7.073
50,424.211,6.245
51,424.363,6.272
52,423.463,6.283
53,423.104,6.139
54,422.825,6.021
55,422.778,5.995
56,422.813,6.057
57,422.195,6.178
58,421.481,6.386
59,421.591,6.407
60,421.018,6.381
61,420.139,5.617
62,419.971,5.828
63,420.111,6.176
64,420.391,6.254
65,420.919,6.639
66,420.966,6.803
67,421.371,6.648
68,421.431,7.285
69,421.489,7.483
70,420.791,8.156
71,420.774,8.352
72,421.56,8.081
73,421.477,7.874
74,421.038,7.72
75,421.173,7.872
76,420.678,8.225
77,420.532,9.483
78,421.457,8.968
79,421.346,8.175
80,419.998,9.692
81,419.691,10.928
82,419.695,11.594
83,419.485,12.259
84,418.77,13.082
85,419.196,12.713
86,420.531,11.375
87,423.284,9.883
88,422.582,9.416
89,422.555,9.094
90,423.878,8.378
91,423.909,7.289
92,425.691,2.937
93,424.492,2.001
94,424.299,1.444
95,423.566,0.91
96,425.656,0.117
97,424.241,-0.487
98,421.993,-0.706
99,422.661,-0.629
100,422.325,-0.667
101,421.967,-0.494
102,422.346,-0.492
103,423.019,-0.613
104,423.776,-0.875
105,426.299,-1.639
106,427.692,-2.539
107,427.451,-2.448
108,426.605,-3.08
109,425.712,-3.845
110,425.72,-4.176
111,425.486,-4.359
112,425.849,-4.668
113,426.761,-4.861
114,427.147,-4.829
115,427.359,-4.93
116,427.117,-5.027
117,426.663,-5.262
118,426.038,-5.349
119,425.119,-5.411
120,425.412,-5.35
121,425.027,-5.341
122,424.964,-5.264
123,424.897,-5.165
124,425.146,-4.923
125,425.309,-4.765
126,425.046,-4.643
127,425.348,-4.476
128,425.85,-4.307
129,426.09,-4.09
130,426.76,-3.898
131,428.256,-3.738
132,428.431,-3.688
133,428.57,-3.692
134,427.629,-3.755
135,425.618,-4.268
136,424.988,-4.526
137,424.785,-4.351
138,424.398,-4.116
139,424.274,-3.791
140,424.447,-3.716
141,424.701,-3.748
142,424.586,-3.86
143,425.754,-3.921
144,425.179,-3.782
145,424.903,-3.611
146,425.331,-3.545
147,425.331,-3.125
148,425.06,-2.942
149,425.542,-3.589
150,425.164,-4.324
151,425.836,-4.013
152,425.742,-4.491
153,425.972,-4.529
154,425.943,-3.492
155,427.227,-4.148
156,427.527,-4.002
157,427.981,-3.67
158,427.188,-2.935
159,426.002,-3.312
160,424.309,-3.279
161,423.181,-2.272
162,423.612,-2.809
163,423.984,-2.74
164,424.37,-2.463
165,425.678,-2.758
166,426.22,-2.724
167,426.095,-2.648
168,424.341,-2.007
169,423.703,-1.95
170,424.023,-1.702
171,423.531,-1.057
172,422.754,-0.637
173,422.985,-0.654
174,423.657,-1.443
175,424.201,-2.126
176,425.565,-2.545
177,427.255,-2.91
178,425.105,-3.379
179,424.679,-3.307
180,425.479,-3.281
181,423.908,-2.819
182,423.638,-2.638
183,423.576,-2.2
184,423.044,-1.444
185,423.27,-1.833
186,422.491,-0.492
187,421.594,0.594
188,421.39,0.744
